

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
039.543  000.026  000.026: require('luasnip.util.extend_decorator')
039.611  000.040  000.040: require('luasnip.util.path')
039.674  000.030  000.030: require('luasnip.util.log')
039.678  000.066  000.036: require('luasnip.loaders.util')
039.700  000.021  000.021: require('luasnip.loaders.data')
039.756  000.056  000.056: require('luasnip.loaders.fs_watchers')
039.758  000.215  000.032: require('luasnip.loaders')
039.773  000.922  000.077: require('luasnip')
039.787  001.938  000.111: sourcing /home/beicker/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
039.822  000.015  000.015: sourcing /home/beicker/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
039.928  000.028  000.028: require('cmp.utils.api')
039.970  000.020  000.020: require('cmp.types.cmp')
040.057  000.055  000.055: require('cmp.utils.misc')
040.086  000.115  000.060: require('cmp.types.lsp')
040.110  000.023  000.023: require('cmp.types.vim')
040.111  000.182  000.024: require('cmp.types')
040.134  000.022  000.022: require('cmp.utils.highlight')
040.189  000.020  000.020: require('cmp.utils.debug')
040.195  000.060  000.039: require('cmp.utils.autocmd')
040.372  000.510  000.218: sourcing /home/beicker/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
040.507  000.030  000.030: sourcing /home/beicker/.local/share/nvim/lazy/lsp-zero.nvim/plugin/lsp-zero.lua
040.745  000.220  000.220: require('lsp-zero.settings')
040.783  000.036  000.036: require('lsp-zero.preset')
041.085  000.054  000.054: require('cmp.utils.char')
041.090  000.114  000.061: require('cmp.utils.str')
041.227  000.050  000.050: require('cmp.utils.buffer')
041.233  000.105  000.056: require('cmp.utils.keymap')
041.238  000.139  000.034: require('cmp.utils.feedkeys')
041.380  000.047  000.047: require('cmp.config.mapping')
041.406  000.025  000.025: require('cmp.utils.cache')
041.496  000.056  000.056: require('cmp.config.compare')
041.497  000.090  000.034: require('cmp.config.default')
041.508  000.224  000.062: require('cmp.config')
041.517  000.278  000.054: require('cmp.utils.async')
041.576  000.029  000.029: require('cmp.utils.pattern')
041.578  000.060  000.032: require('cmp.context')
041.747  000.058  000.058: require('cmp.matcher')
041.754  000.133  000.074: require('cmp.entry')
041.761  000.182  000.050: require('cmp.source')
041.839  000.039  000.039: require('cmp.utils.event')
041.963  000.046  000.046: require('cmp.utils.options')
041.966  000.094  000.048: require('cmp.utils.window')
041.967  000.127  000.033: require('cmp.view.docs_view')
042.037  000.069  000.069: require('cmp.view.custom_entries_view')
042.092  000.055  000.055: require('cmp.view.wildmenu_entries_view')
042.144  000.050  000.050: require('cmp.view.native_entries_view')
042.192  000.047  000.047: require('cmp.view.ghost_text_view')
042.200  000.438  000.051: require('cmp.view')
042.461  001.557  000.345: require('cmp.core')
042.584  000.048  000.048: require('cmp.config.sources')
042.615  000.029  000.029: require('cmp.config.window')
042.653  001.815  000.181: require('cmp')
042.658  002.271  000.169: require('lsp-zero.cmp')
043.306  005.968  001.235: require('cmp')
043.473  000.036  000.036: require('cmp_buffer.timer')
043.477  000.095  000.059: require('cmp_buffer.buffer')
043.480  000.131  000.036: require('cmp_buffer.source')
043.481  000.172  000.041: require('cmp_buffer')
043.494  006.197  000.056: sourcing /home/beicker/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
044.910  000.751  000.751: require('vim.lsp.log')
045.247  000.335  000.335: require('vim.lsp.protocol')
045.371  000.048  000.048: require('vim.lsp._snippet')
045.395  000.022  000.022: require('vim.highlight')
045.404  000.155  000.084: require('vim.lsp.util')
045.416  001.693  000.452: require('vim.lsp.handlers')
045.481  000.064  000.064: require('vim.lsp.rpc')
045.506  000.024  000.024: require('vim.lsp.sync')
045.547  000.040  000.040: require('vim.lsp.semantic_tokens')
045.589  000.041  000.041: require('vim.lsp.buf')
045.615  000.024  000.024: require('vim.lsp.diagnostic')
045.640  000.025  000.025: require('vim.lsp.codelens')
045.687  002.110  000.199: require('vim.lsp')
045.716  002.177  000.067: sourcing /home/beicker/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
045.803  000.035  000.035: require('lsp-zero.server')
045.981  000.091  000.091: require('lspconfig.util')
046.106  000.020  000.020: require('lspconfig.async')
046.109  000.050  000.030: require('lspconfig.configs')
046.111  000.076  000.025: require('lspconfig')
046.182  000.449  000.247: require('lsp-zero')
046.204  000.021  000.021: require('lsp-zero.installer')
046.244  000.020  000.020: require('mason-core.path')
046.316  000.045  000.045: require('mason-core.functional')
046.375  000.016  000.016: require('mason-core.functional.data')
046.378  000.055  000.039: require('mason-core.functional.function')
046.404  000.018  000.018: require('mason-core.functional.relation')
046.425  000.017  000.017: require('mason-core.functional.logic')
046.431  000.186  000.050: require('mason-core.platform')
046.456  000.024  000.024: require('mason.settings')
046.457  000.251  000.021: require('mason')
046.523  000.026  000.026: require('mason-core.functional.list')
046.544  000.020  000.020: require('mason-core.functional.string')
046.566  000.102  000.056: require('mason.api.command')
046.594  000.025  000.025: require('mason-registry.sources')
046.650  000.031  000.031: require('mason-core.log')
046.666  000.015  000.015: require('mason-lspconfig.settings')
046.668  000.069  000.023: require('mason-lspconfig')
046.699  000.014  000.014: require('mason-lspconfig.notify')
046.711  000.041  000.027: require('mason-lspconfig.lspconfig_hook')
046.765  000.021  000.021: require('mason-core.functional.table')
046.804  000.092  000.071: require('mason-lspconfig.mappings.server')
046.848  000.018  000.018: require('mason-core.EventEmitter')
046.868  000.019  000.019: require('mason-core.optional')
046.915  000.027  000.027: require('mason-core.async')
046.937  000.020  000.020: require('mason-core.async.uv')
046.942  000.072  000.025: require('mason-core.fs')
046.955  000.151  000.041: require('mason-registry')
046.975  000.019  000.019: require('mason-lspconfig.server_config_extensions')
047.000  000.023  000.023: require('lspconfig.server_configurations.omnisharp')
047.234  000.021  000.021: require('mason-core.functional.number')
047.249  000.067  000.046: require('mason-lspconfig.api.command')
047.273  000.021  000.021: require('lspconfig.server_configurations.lua_ls')
047.593  000.027  000.027: require('lspconfig.manager')
047.618  000.022  000.022: require('lspconfig.server_configurations.gdscript')
047.687  000.021  000.021: require('lsp-zero.setup')
047.810  000.022  000.022: require('lspconfig.server_configurations.tsserver')
048.000  000.024  000.024: require('lspconfig.server_configurations.clangd')
048.205  000.028  000.028: require('lspconfig.server_configurations.emmet_ls')
048.424  000.031  000.031: require('lspconfig.server_configurations.tailwindcss')
048.593  000.024  000.024: require('lspconfig.server_configurations.astro')
048.665  000.017  000.017: require('mason-lspconfig.typescript')
048.667  000.038  000.021: require('mason-lspconfig.server_configurations.astro')
048.723  000.020  000.020: require('lspconfig.server_configurations.unocss')
048.846  000.024  000.024: require('lspconfig.server_configurations.cssls')
049.047  000.036  000.036: require('lspconfig.server_configurations.rust_analyzer')
051.754  000.063  000.063: sourcing /home/beicker/.local/share/nvim/lazy/vim-godot/ftplugin/gdscript.vim
052.548  000.052  000.052: sourcing /home/beicker/.local/share/nvim/lazy/vim-godot/indent/gdscript.vim
052.710  000.022  000.022: require('ts_context_commentstring.utils')
052.713  000.058  000.036: require('ts_context_commentstring.internal')
054.873  000.041  000.041: require('vim.treesitter.highlighter')
055.178  000.124  000.124: sourcing /home/beicker/.local/share/nvim/lazy/vim-godot/syntax/gdscript.vim
055.298  000.005  000.005: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/syntax/gdscript.vim
055.840  000.126  000.126: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions.vim
055.911  000.021  000.021: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/quickfix.vim
056.031  000.080  000.080: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline.vim
056.120  000.013  000.013: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/netrw.vim
056.230  000.050  000.050: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/term.vim
